nombre,financiamiento,provincia,localidad,internacion,camas
RESIDENCIA SANTA LUCIA HOGAR GERIATRICO,Privado,Buenos Aires,9 de Julio,Sí,48.0
RESIDENCIAL 9 DE JULIO,Privado,Buenos Aires,9 de Julio,Sí,59.0
SISTEMA DE SALUD MENTAL 9 DE JULIO,Privado,Buenos Aires,9 de Julio,Sí,0.0
CLINICA PRIVADA ASOCIACION MUTUAL COMUNITARIA A. G. CHAVES,Privado,Buenos Aires,Adolfo Gonzales Chaves (Est. Chaves),Sí,20.0
CLINICA Y MATERNIDAD PRIVADA GONZALEZ CHAVES,Privado,Buenos Aires,Adolfo Gonzales Chaves (Est. Chaves),Sí,20.0
HOSPITAL LOCAL GENERAL ANITA ELICAGARAY,Público,Buenos Aires,Adolfo Gonzales Chaves (Est. Chaves),Sí,62.0
ASOCIACION AMIGOS DE LA ANCIANIDAD,Privado,Buenos Aires,Alberti (Est. Andrés Vaccarezza),Sí,39.0
CENTRO MEDICO ALBERTI DE DIAGNOSTICO Y CIRUGIA DE CORTA ESTADIA,Privado,Buenos Aires,Alberti (Est. Andrés Vaccarezza),Sí,13.0
HOSPITAL MUNICIPAL NUESTRA SEÑORA DE LA MERCED,Público,Buenos Aires,Alberti (Est. Andrés Vaccarezza),Sí,37.0
INSTITUTO MEDICO DR. ROBERTO A. VACAREZZA,Privado,Buenos Aires,Alberti (Est. Andrés Vaccarezza),Sí,51.0
COMUNIDAD TERAPEUTICA LIGUEN,Privado,Buenos Aires,Alejandro Petión,Sí,30.0
HOGAR DE ANCIANOS FACUNDO QUIROGA - VIRGEN DE LUJAN,Privado,Buenos Aires,Alfredo Demarchi (Est. Facundo Quiroga),Sí,0.0
HOSPITAL MUNICIPAL DR. MANUEL ARCE,Público,Buenos Aires,Alfredo Demarchi (Est. Facundo Quiroga),Sí,8.0
HOSPITAL QUIROGA,Público,Buenos Aires,Alfredo Demarchi (Est. Facundo Quiroga),Sí,8.0
RESIDENCIA TERCERA EDAD QUIROGA,Privado,Buenos Aires,Alfredo Demarchi (Est. Facundo Quiroga),Sí,17.0
CLINICA CENTRO MEDICO NEUROPSIQUIATRICO (M),Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,431.0
CLINICA DE REPOSO ADROGUE (M),Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,0.0
CLINICA ESPORA,Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,96.0
CLINICA I.M.A. SA,Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,51.0
EL RINCON DE LOS ABUELOS,Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,9.0
GERIATRICO LA QUINTA II,Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,15.0
HOGAR GERIATRICO,Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,20.0
HOGAR GERIATRICO EL CEIBO,Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,21.0
HOGAR GERIATRICO LA QUINTA,Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,33.0
HOGAR GERIATRICO Y DE DIA LOS CEREZOS,Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,74.0
HOGAR LA DIAMELA (G),Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,92.0
HOGAR SAN GENARO,Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,20.0
HOSPITAL SUBZONAL ESPECIALIZADO EN REHABILITACION DR. JORGE,Público,Buenos Aires,Almirante Brown (Adrogué),Sí,64.0
HOSPITAL ZONAL GENERAL AGUDOS DR. LUCIO V. MELENDEZ,Público,Buenos Aires,Almirante Brown (Adrogué),Sí,228.0
RESIDENCIA GERIATRICA EREZCANO,Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,0.0
RESIDENCIA GERIATRICA LUNA AZUL,Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,0.0
RESIDENCIA GERIATRICA MAR AZUL,Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,15.0
RESIDENCIA GERIATRICA RO-NAR,Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,0.0
SHAKIN (G),Privado,Buenos Aires,Almirante Brown (Adrogué),Sí,20.0
GERIATRICO LLAR,Privado,Buenos Aires,Almirante Brown (Burzaco),Sí,22.0
HOGAR GERIATRICO AMANECERES,Privado,Buenos Aires,Almirante Brown (Burzaco),Sí,39.0
HOGAR GERIATRICO CASA GRANDE,Privado,Buenos Aires,Almirante Brown (Burzaco),Sí,18.0
HOGAR GERIATRICO SAN ANTONIO,Privado,Buenos Aires,Almirante Brown (Burzaco),Sí,12.0
RESIDENCIA MARIA REGINA DE MUJERES (D),Privado,Buenos Aires,Almirante Brown (Burzaco),Sí,7.0
RESIDENCIA MARIA REGINA DE VARONES (D),Privado,Buenos Aires,Almirante Brown (Burzaco),Sí,10.0
SANATORIO MODELO ADROGUE/ SANATORIO PRIVADO ALMIRANTE BROWN,Privado,Buenos Aires,Almirante Brown (Burzaco),Sí,43.0
SANATORIO MODELO BURZACO,Privado,Buenos Aires,Almirante Brown (Burzaco),Sí,98.0
SANTA ROSA (G),Privado,Buenos Aires,Almirante Brown (Burzaco),Sí,12.0
CLINICA MODELO CLAYPOLE SA MONTE VERDE,Privado,Buenos Aires,Almirante Brown (Claypole),Sí,46.0
CLINICA PRIVADA CLAYPOLE,Privado,Buenos Aires,Almirante Brown (Claypole),Sí,32.0
GERIATRICO SAN CARLOS,Privado,Buenos Aires,Almirante Brown (Claypole),Sí,0.0
HOGAR PARA DISCAPACITADOS DEL PEQUEÑO COTTOLENGO DON ORIONE CLAYPOLE (D),Privado,Buenos Aires,Almirante Brown (Claypole),Sí,394.0
CLINICA PRIVADA GLEW,Privado,Buenos Aires,Almirante Brown (Glew),Sí,28.0
COMUNIDAD TERAPEUTICA GENESIS (A),Privado,Buenos Aires,Almirante Brown (Glew),Sí,33.0
COMUNIDAD TERAPEUTICA SANTA CLARA DE ASIS (A),Privado,Buenos Aires,Almirante Brown (Glew),Sí,0.0
RESIDENCIA GERIATRICA LA BELLA VISTA,Privado,Buenos Aires,Almirante Brown (Glew),Sí,58.0
HOGAR GERIATRICO DE BELEN,Privado,Buenos Aires,Almirante Brown (José Mármol),Sí,0.0
HOGAR GERIATRICO NUESTRA SEÑORA DE LA PAZ,Privado,Buenos Aires,Almirante Brown (José Mármol),Sí,20.0
HOGAR GERIATRICO SAN GUILLERMO,Privado,Buenos Aires,Almirante Brown (José Mármol),Sí,23.0
CLINICA PRIVADA LONGCHAMPS,Privado,Buenos Aires,Almirante Brown (Longchamps),Sí,23.0
HOGAR GERIATRICO LA RESIDENCIA,Privado,Buenos Aires,Almirante Brown (Longchamps),Sí,0.0
HOGAR GERIATRICO LA RESIDENCIA (LONGCHAMPS - BARRIO LOS ALAMOS),Privado,Buenos Aires,Almirante Brown (Longchamps),Sí,0.0
HOSPITAL E. BURGWARD,Privado,Buenos Aires,Almirante Brown (Longchamps),Sí,30.0
OTROS CAMINOS SON POSIBLES PARA LA REHABILITACION DE LAS ADICCIONES (A),Privado,Buenos Aires,Almirante Brown (Longchamps),Sí,14.0
SANTA CLARA DE ASIS,Privado,Buenos Aires,Almirante Brown (Longchamps),Sí,40.0
CLINICA PRIVADA COLON SRL,Privado,Buenos Aires,Almirante Brown (Rafael Calzada),Sí,64.0
CLINICA PRIVADA RIVADAVIA,Privado,Buenos Aires,Almirante Brown (Rafael Calzada),Sí,10.0
HOGAR CASA DE CAMPO,Privado,Buenos Aires,Almirante Brown (Rafael Calzada),Sí,0.0
HOGAR GERIATRICO MI HOGAR,Privado,Buenos Aires,Almirante Brown (Rafael Calzada),Sí,20.0
HOSPITAL ZONAL GENERAL DE AGUDOS DR. ARTURO OÑATIVIA,Público,Buenos Aires,Almirante Brown (Rafael Calzada),Sí,209.0
ONG RED DE APOYO FAMILIAR COMUNIDAD TERAPEUTICA EL TAMBO,Privado,Buenos Aires,Almirante Brown (Rafael Calzada),Sí,24.0
GERIATRICO VERTIZ,Privado,Buenos Aires,Almirante Brown (San José),Sí,0.0
CLINICA PRIVADA ORELLANA,Privado,Buenos Aires,América,Sí,11.0
CLINICA PRIVADA SANATORIO RIVADAVIA,Privado,Buenos Aires,América,Sí,18.0
HOGAR GERIATRICO,Público,Buenos Aires,América,Sí,36.0
RESIDENCIA DE ABUELOS,Público,Buenos Aires,América,Sí,45.0
SANATORIO RIVADAVIA,Privado,Buenos Aires,América,Sí,46.0
HOSPITAL PRIVADO PEDRO LACAU,Privado,Buenos Aires,Arenaza,Sí,0.0
UNIDAD SANITARIA ARENAZA,Público,Buenos Aires,Arenaza,Sí,12.0
HOGAR DE ANCIANOS MUNICIPAL SOR MARIA ROSELLO,Público,Buenos Aires,Arrecifes,Sí,58.0
HOSPITAL MUNICIPAL SANTA FRANCISCA ROMANA,Público,Buenos Aires,Arrecifes,Sí,109.0
SUEÑOS WELLNESS,Privado,Buenos Aires,Arrecifes,Sí,12.0
HOGAR DE ANCIANOS ARROYO CORTO,Público,Buenos Aires,Arroyo Corto,Sí,12.0
SALA DE PRIMEROS AUXILIOS ARROYO CORTO,Privado,Buenos Aires,Arroyo Corto,Sí,9.0
HOGAR DE ANCIANOS IRENE DALL OCCHIO,Privado,Buenos Aires,Ascensión,Sí,20.0
CEGAVE,Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,2.0
CENTRO DE ESTUDIOS PSIQUIATRICOS,Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,81.0
CENTRO DE REHABILITACION CON INTEGRACION SERES (D),Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,31.0
CENTRO DE REHABILITACION CON INTERNACION SERES 2 (D),Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,25.0
CIKA (CENTRO INTEGRAL DE REHABILITACION ARGENTINO),Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,0.0
CLINICA AVELLANEDA MEDICAL CENTER,Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,59.0
CLINICA DE PSICOPATOLOGIA SAN CAYETANO (M),Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,17.0
CLINICA PRIVADA 24 DE SEPTIEMBRE,Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,28.0
COMUNIDAD TERAPEUTICA ASOCIACION REVIVIR,Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,0.0
GERIATRICO LOS OLIVOS,Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,0.0
HOGAR GERIATRICO DEL SAGRADO,Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,45.0
HOGAR GERIATRICO TUNQUELEN,Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,28.0
HOSPITAL SUBZONAL ESPECIALIZADO MATERNO INFANTIL ANA GOITIA,Público,Buenos Aires,Avellaneda (Avellaneda),Sí,82.0
RESIDENCIA GERIATRICA,Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,23.0
RESIDENCIA GERIATRICA DAQUILA,Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,0.0
RESIDENCIA GERIATRICA DAQUILA SA,Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,20.0
RESIDENCIA GERIATRICA ROSICLER,Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,33.0
SANATORIO REGIONAL AVELLANEDA,Privado,Buenos Aires,Avellaneda (Avellaneda),Sí,0.0
CLINICA PRIVADA EMMANUELLE,Privado,Buenos Aires,Avellaneda (Dock Sud),Sí,12.0
GERIATRICO SAN GREGORIO,Privado,Buenos Aires,Avellaneda (Piñeyro),Sí,41.0
HOGAR DE ANCIANOS LA CASA GRANDE,Privado,Buenos Aires,Avellaneda (Piñeyro),Sí,48.0
HOGAR DE ANCIANOS SANIDAD FABIANO SA,Privado,Buenos Aires,Avellaneda (Piñeyro),Sí,48.0
HOGAR GERIATRICO SAN BARTOLOME,Privado,Buenos Aires,Avellaneda (Piñeyro),Sí,0.0
CENTRO DE REHABILITACION MADRE TERESA,Privado,Buenos Aires,Avellaneda (Sarandí),Sí,43.0
CLINICA MATERNO INFANTIL NUESTRA SEÑORA DE LA DULCE ESPERA,Privado,Buenos Aires,Avellaneda (Sarandí),Sí,47.0
GERIATRICO LO SUBLIME,Privado,Buenos Aires,Avellaneda (Sarandí),Sí,0.0
HOGAR GERIATRICO DASIMAT SRL,Privado,Buenos Aires,Avellaneda (Sarandí),Sí,23.0
HOGAR GERIATRICO MIS NONOS,Privado,Buenos Aires,Avellaneda (Sarandí),Sí,0.0
HOSPITAL INTERZONAL GENERAL AGUDOS PRESIDENTE PERON,Público,Buenos Aires,Avellaneda (Sarandí),Sí,373.0
HOSPITAL PRIVADO BOMBEROS VOLUNTARIOS SARANDI,Privado,Buenos Aires,Avellaneda (Sarandí),Sí,38.0
RESIDENCIA GERIATRICA SAN JULIAN,Privado,Buenos Aires,Avellaneda (Sarandí),Sí,0.0
CLINICA COMUNIDAD,Privado,Buenos Aires,Avellaneda (Villa Domínico),Sí,0.0
CLINICA Y SANATORIO WILDE,Privado,Buenos Aires,Avellaneda (Villa Domínico),Sí,32.0
RESIDENCIA PARA MAYORES DON AUGUSTO,Privado,Buenos Aires,Avellaneda (Villa Domínico),Sí,32.0
CLINICA PRIVADA DEL DIAGNOSTICO LAS FLORES,Privado,Buenos Aires,Avellaneda (Wilde),Sí,32.0
GERIATRICO VIRGEN DE COPACABANA II,Privado,Buenos Aires,Avellaneda (Wilde),Sí,14.0
HOGAR DEL SOL,Privado,Buenos Aires,Avellaneda (Wilde),Sí,18.0
HOGAR GERIATRICO COPACABANA,Privado,Buenos Aires,Avellaneda (Wilde),Sí,30.0
HOSPITAL INTERZONAL GENERAL AGUDOS DR. PEDRO FIORITO,Público,Buenos Aires,Avellaneda (Wilde),Sí,285.0
HOSPITAL SUBZONAL GENERAL AGUDOS DE WILDE,Público,Buenos Aires,Avellaneda (Wilde),Sí,77.0
RESIDENCIA GERIATRICA NUESTROS MAYORES,Privado,Buenos Aires,Avellaneda (Wilde),Sí,52.0
SANATORIO ITOIZ,Privado,Buenos Aires,Avellaneda (Wilde),Sí,58.0
SANATORIO MITRE,Privado,Buenos Aires,Avellaneda (Wilde),Sí,55.0
HOGAR DE ANCIANOS SAN FRANCISCO JAVIER,Privado,Buenos Aires,Ayacucho,Sí,0.0
HOGAR GERIATRICO SAN ANTONIO,Privado,Buenos Aires,Ayacucho,Sí,18.0
HOGAR PARA DISCAPACITADOS MI CASITA (D),Privado,Buenos Aires,Ayacucho,Sí,13.0
HOSPITAL MUNICIPAL DR. PEDRO SOLANET,Público,Buenos Aires,Ayacucho,Sí,67.0
UNIDAD SANITARIA Y HOGAR GERIATRICO EL CENTENARIO,Público,Buenos Aires,Azopardo,Sí,18.0
CLINICA PRIVADA PSIQUIATRICA AZUL,Privado,Buenos Aires,Azul,Sí,36.0
CLINICA SAN MARTIN SA DE AZUL,Privado,Buenos Aires,Azul,Sí,23.0
HOGAR DE ANCIANOS ERNESTINA DE MALERE,Privado,Buenos Aires,Azul,Sí,67.0
HOGAR DE ANCIANOS RESIDENCIA AZUL,Privado,Buenos Aires,Azul,Sí,40.0
HOGAR DE ANCIANOS SAN MARTIN DE PORRES,Privado,Buenos Aires,Azul,Sí,49.0
HOGAR GERIATRICO ABUELOS FELICES,Privado,Buenos Aires,Azul,Sí,10.0
HOGAR GERIATRICO VICUÑA II,Privado,Buenos Aires,Azul,Sí,40.0
HOSPITAL MUNICIPAL DR. ANGEL PINTOS,Público,Buenos Aires,Azul,Sí,94.0
HOSPITAL ZONAL ESPECIALIZADO EN PEDIATRIA ARGENTINA DIEGO,Público,Buenos Aires,Azul,Sí,61.0
INSTITUTO INTERDISCIPLINARIO DE SALUD MENTAL SA GERIATRICO AÑOS DORADOS,Privado,Buenos Aires,Azul,Sí,0.0
INSTITUTO OFTALMOLOGICO AZUL,Privado,Buenos Aires,Azul,Sí,4.0
SANATORIO AZUL,Privado,Buenos Aires,Azul,Sí,37.0
CLINICA DEL SOL DE BAHIA BLANCA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,72.0
CLINICA PRIVADA FUMEBA HOSPITAL PRIVADO DEL SUR,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,79.0
CLINICA PRIVADA MODELO DE BAHIA BLANCA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,19.0
HOSPITAL ASOCIACION ITALIANO REGIONAL DEL SUR,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,92.0
HOSPITAL DR. FELIPE GLASMAN DE LA ASOCIACION MEDICA DE BAHIA BLANCA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,75.0
HOSPITAL INTERZONAL GENERAL DE AGUDOS DR. PENNA,Público,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,303.0
HOSPITAL MILITAR BAHIA BLANCA,Público,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,37.0
HOSPITAL MUNICIPAL DE AGUDOS DR. LEONIDAS LUCERO,Público,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,79.0
HOSPITAL REGIONAL ESPAÑOL,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,110.0
SANATORIO OSECAC SANATORIO CENTRAL DE SALUD,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,80.0
CENTRO SALUD DE EMPLEADOS DE COMERCIO DR. RAUL MATERA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,76.0
CLINICA DE OJOS DEL SUD,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,2.0
CLINICA DEL NIÑO,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,0.0
CLINICA PRIVADA BAHIENSE SA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,94.0
CLINICA PRIVADA OFTALMOLOGICA BEREILH,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,0.0
CLINICA SANATORIO NEUROPSIQUIATRICO BELGRANO,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,0.0
GERIATRICO ABUELA EMMA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,30.0
GERIATRICO HOGAR FELIZ,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,79.0
GERIATRICO IL GIARDINO SRL,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,42.0
GERIATRICO LA ABUELA DOMINGA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,10.0
GERIATRICO MISIONES,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,20.0
GERIATRICO SAN NICOLAS,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,22.0
GERIATRICO SAN PANTALEON,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,28.0
GERIATRICO TRABOLARES,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,0.0
HOGAR GERIATRICO DEL CENTRO,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,123.0
HOGAR GERIATRICO E.B,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,12.0
HOGAR GERIATRICO EL MANANTIAL,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,20.0
HOGAR GERIATRICO EL SAUCE,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,15.0
HOGAR GERIATRICO LA RESIDENCIA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,18.0
HOGAR GERIATRICO LAVALLE,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,2.0
HOGAR GERIATRICO MARIA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,29.0
HOGAR GERIATRICO MARIA CATALINA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,0.0
HOGAR GERIATRICO MARIA EMILIA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,21.0
HOGAR GERIATRICO SOLAR DEL ROSARIO,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,35.0
HOGAR PARA DISCAPACITADOS MAYORES INCUDI (D),Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,20.0
HOGAR PARA DISCAPACITADOS SANTA RITA (D),Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,15.0
HOGAR SAN PATRICIO,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,37.0
HOGAR SUSTITUTO DE LA TERCERA EDAD MARIA TERESA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,4.0
INSTITUTO DE CIRUGIAS ESPECIALES DEL DR. SOSA JUAN CARLOS,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,6.0
INSTITUTO DIAGNOSTICO PATOLOGIA FEMENINA S.A,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,0.0
INSTITUTO GERIATRICO CEFERINO,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,30.0
NUESTRA SEÑORA DE POMPEYA RESIDENCIA TERCERA EDAD,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,30.0
NUEVO INSTITUTO GERIATRICO BAHIENSE,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,28.0
PEQUEÑO COTTOLENGO MONSEÑOR JOSE NASCIMBENI ( D),Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,91.0
POLICLINICA PRIVADA DE CIRCULO DE OFICIALES DE MAR,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,0.0
POLICLINICA PRIVADA INSTITUTO DE PATOLOGIA FEMENINA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,4.0
RESIDENCIA PARA LA TERCERA EDAD LA QUERENCIA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,30.0
RESIDENCIA BAHIA BLANCA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,12.0
RESIDENCIA GERIATRICA ALDEA ROMANA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,23.0
RESIDENCIA GERIATRICA DEL SUR,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,31.0
RESIDENCIA GERIATRICA GUADALUPE,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,17.0
RESIDENCIA GERIATRICA LAURA VICUÑA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,20.0
RESIDENCIA PARA LA TERCERA EDAD FR,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,15.0
RESIDENCIA PARA LA TERCERA EDAD LAGUNA DORADA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,12.0
SANTA ANITA (HOGAR GERIATRICO),Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),Sí,11.0
CLINICA SAN MARCO,Privado,Buenos Aires,Bahía Blanca (Ingeniero White),Sí,10.0
CLINICA PRIVADA DE SALUD MENTAL SANATORIO ARGENTINO,Privado,Buenos Aires,Bahía Blanca (Villa Bordeau),Sí,0.0
CENTRO GERIATRICO DR. ERNESTO L. PINTO,Público,Buenos Aires,Balcarce,Sí,35.0
CENTRO GERIATRICO HOSTAL DE LOS ABUELOS,Público,Buenos Aires,Balcarce,Sí,26.0
COMUNIDAD POSADA DEL INTI (A),Privado,Buenos Aires,Balcarce,Sí,19.0
COMUNIDAD TERAPEUTICA POSADA DEL INTI (A),Privado,Buenos Aires,Balcarce,Sí,19.0
GERIATRICO HOSTAL DE LOS ABUELOS,Privado,Buenos Aires,Balcarce,Sí,38.0
HOGAR DE NUESTRO SUEÑO,Privado,Buenos Aires,Balcarce,Sí,10.0
HOGAR DE NUESTRO SUEÑO (D),Privado,Buenos Aires,Balcarce,Sí,10.0
HOGAR GERIATRICO MARIA AUXILIADORA,Privado,Buenos Aires,Balcarce,Sí,9.0
HOSPITAL SUBZONAL MUNICIPAL DR. FELIPE A. FOSATTI,Público,Buenos Aires,Balcarce,Sí,91.0
RESIDENCIA GERIATRICA CLINICA PRIVADA DEL LAGO,Privado,Buenos Aires,Balneario Laguna de Gómez,Sí,49.0
CLINICA PRIVADA DE ORTOPEDIA Y TRAUMATOLOGIA COTBA,Privado,Buenos Aires,Baradero,Sí,6.0
CLINICA PRIVADA MODERNA,Privado,Buenos Aires,Baradero,Sí,30.0
CLINICA PRIVADA MODERNA SA,Privado,Buenos Aires,Baradero,Sí,33.0
CLINICA PRIVADA NEUROPSIQUIATRICA PLAZA CONSTITUCION SRL,Privado,Buenos Aires,Baradero,Sí,30.0
CLINICA SOERM SINDICAL,Privado,Buenos Aires,Baradero,Sí,44.0
GERIATRICO III MILENIUM,Privado,Buenos Aires,Baradero,Sí,44.0
HOGAR CEFERINO NAMUNCURA,Privado,Buenos Aires,Baradero,Sí,0.0
HOGAR DE ANCIANOS SAN JOSE DE BARADERO,Público,Buenos Aires,Baradero,Sí,52.0
HOGAR Y CENTRO DE DIA APAND (D),Privado,Buenos Aires,Baradero,Sí,17.0
HOSPITAL SUBZONAL GENERAL DR. LINO PIÑEIRO,Público,Buenos Aires,Baradero,Sí,51.0
RESIDENCIA GERIATRICA ITALIANA CASA DE REPOSO SAN FRANCISCO DE PAOLA,Privado,Buenos Aires,Baradero,Sí,125.0
RESIDENCIA GERIATRICA SAN GABRIEL,Privado,Buenos Aires,Baradero,Sí,49.0
SANATORIO OBRA SOCIAL DE OBREROS Y EMPLADOS DE REFINERIAS DE MAIZ,Privado,Buenos Aires,Baradero,Sí,40.0
SANATORIO OSPREM,Privado,Buenos Aires,Baradero,Sí,30.0
CLINICA PRIVADA SAN JAVIER,Privado,Buenos Aires,Batán,Sí,12.0
