id,institucion,provincia,localidad,direccion,cp,telefono,email,horario_atencion,tipo_api,lat,lon
67,Hospital “Dr. Angel Marsetti”,BUENOS AIRES,Cañuelas,Rawson 450,,(02226) 421626,,24 hs,Salud,-35.0600144,-58.7633336
68,Comisaría,BUENOS AIRES,Capitán Sarmiento,López y Planes 587,,(02478) 481255,,24 hs,Comisaria,-34.1689835,-59.7892876
69,Hospital Municipal,BUENOS AIRES,Capitán Sarmiento,Avenida San Martín 450,,(02478) 481311/3191,,24 hs,Salud,-34.1689835,-59.7892876
70,Comisaría De La Mujer,BUENOS AIRES,Carlos Casares,Irigoyen 286,,(02395) 450773,,Lunes a Viernes de 9 a 18 hs,Comisaria Mujer,-35.6230278,-61.36036679999995
71,Hospital Municipal,BUENOS AIRES,Carlos Casares,Doctor Julio F. Ramos 254,,(02395) 452266/451400,,24 hs,Salud,-33.6230278,-61.1904386557
72,Hospital Municipal,BUENOS AIRES,Carlos Tejedor,Avenida Garré 950,,(02357) 420103/0107,,24 hs,Salud,-35.3926468,-58.807028
73,Hospital Municipal,BUENOS AIRES,Tres Algarrobos,Segundo Miguez 268,,(03388) 492222,,24 hs,Salud,-35.3926468,-62.4206543
74,Comisaría De La Mujer,BUENOS AIRES,Carmen De Areco,Saavedra 272,,Sin Teléfono,,24 hs,Comisaria Mujer,-34.3806686,-59.8223267
75,Hospital Local General “Nuestra Señora Del Carmen”,BUENOS AIRES,Carmen De Areco,Carlos M. Espil 409,,(02273) 442155/0021,,24 hs,Salud,-34.3806686,-59.8223267
76,Hospital Municipal,BUENOS AIRES,Carmen De Patagones,Baraja 740,,(02920) 461112,,24 hs,Salud,-40.792368,-62.9878311
77,Hospital Municipal,BUENOS AIRES,Carmen De Patagones,Santa Fe 349,,(02920) 491017,,24 hs,Salud,-40.792366,-62.9878318
78,Hospital Municipal,BUENOS AIRES,Villalonga,29 De Mayo 168,,(02928) 492038,,24 hs,Salud,-40.792369,-62.9878311
79,Hospital Local “Ramón Carrillo”,BUENOS AIRES,Castelli,San Martín 17,,(02245) 481261/480223,,24 hs,Salud,-36.0883217,-57.8062134
80,Comisaría De La Mujer,BUENOS AIRES,Chacabuco,Primera Junta 215,,(02352) 428471,,24 hs,Comisaria Mujer,-34.6456376,-60.46509430000003
81,Hospital Municipal,BUENOS AIRES,Chacabuco,Avenida Garay 216,,(02352) 430842/0824/0828/0843,,24 hs,Salud,-34.6499193,-60.468414300000006
82,Hospital Local General “Tomás Keating”,BUENOS AIRES,Castilla,Calle 102 y 105 S/N,,(02324) 492015,,24 hs,Salud,-34.5999985,-59.9000015
83,Hospital Local Municipal “A. Rossi”,BUENOS AIRES,Chacabuco,Doctor Jorge Llich S/N,,(02352) 491555/491648,,24 hs,Salud,-34.6499193,-60.468414300000006
84,Comisaría De La Mujer,BUENOS AIRES,Chascomus,Balcarce 249,,(02241) 422653,,24 hs,Comisaria Mujer,-35.5790703,-57.9832259
85,Hospital “San Vicente De Paul”,BUENOS AIRES,Chascomus,Lastra (Entre Hipólito Irigoyen y Machado),,(02241) 431339/1093,,24 hs,Salud,-35.57677690567274,-58.007211685180664
86,Comisaría De La Mujer,BUENOS AIRES,Chivilcoy,Avenida Mitre 110 (Entre Calle 110 y 112),,(02346) 435786,,24 hs,Comisaria Mujer,-34.91340473439494,-59.99766826629639
87,Hospital Municipal,BUENOS AIRES,Chivilcoy,Hijas De San José 31,,(02346) 423210/422052/423520,,24 hs,Salud,-34.8972397,-60.018837
88,Hospital Municipal,BUENOS AIRES,Colon,Calle 50 S/N (Entre Calle 12 y 13),,(02473) 430416,,24 hs,Salud,-33.9005623,-61.1036835
89,Hospital Local “General María Eva Duarte”,BUENOS AIRES,Coronel Dorrego,El Indio 350,,(02921) 452312/452462,,24 hs,Salud,-38.7194366 ,-61.28545759999997
90,Hospital Municipal,BUENOS AIRES,Coronel Dorrego,Güemes 644,,(02983) 495287,,24 hs,Salud,-38.7194368   ,-61.28545759999997
91,Hospital Municipal,BUENOS AIRES,Coronel Pringles,Avenida 25 De Mayo 1650,,(02922) 463581/462025,,24 hs,Salud,-37.9854202  ,-61.35403819999999
92,Comisaría De La Mujer,BUENOS AIRES,Coronel Suarez,San Martín 510,,(02926) 422116,,24 hs,Comisaria Mujer,-37.454658670211670,-61.93915843963623
93,Oficina De Violencia Domestica,BUENOS AIRES,Coronel Suarez,Rivas 650,,(02926) 432038/Guardia: (02926) 477700,,Lunes a Viernes de 8 a 13 hs,Mujer,-37.454658670211664 ,-61.93915843963631
94,Servicio Local Del Derecho Del Niño,BUENOS AIRES,Coronel Suarez,Avellaneda 1570,,(02926) 422453/Emergencia: 112,,Lunes a Viernes de 6 a 15 hs,Niñez / Familia,-37.454658670211668 ,-61.93915843963623
95,Hospital Municipal,BUENOS AIRES,Coronel Suarez,Garibaldi 599,,(02926) 429400,,24 hs,Salud,-37.454658670211670,-61.93915843963623
96,Hospital Municipal,BUENOS AIRES,Huanguelen,Calle 34 S/N (Entre Calle 8 y 9),,(02933) 432023/2363,,24 hs,Salud,-37.454658670211664 ,-61.93915843963623
97,Hospital Municipal,BUENOS AIRES,Daireaux,Pellegrini 113,,(02316) 453297/2809,,24 hs,Salud,-36.6006271,-61.7484957
98,Hospital Municipal,BUENOS AIRES,Salazar,Hipólito Yrigoyen 19,,(02393) 492124,,24 hs,Salud,-36.6043854,-61.7467537
99,Comisaría De La Mujer,BUENOS AIRES,Dolores,Espora y Selva,,(02245) 444458,,24 hs,Comisaria Mujer,-36.315304,-57.699015
100,Dirección De Derechos Humanos,BUENOS AIRES,Ensenada,"Lamerced 491 (PA, Oficina 204)",,(0221) 4691042 (interno: 286),,Lunes a Viernes de 8 a 13 hs,Mujer,-34.8569837,-57.9075685
101,Comisaría De La Mujer,BUENOS AIRES,Ensenada,Leandro N. Alem 519,,(0221) 4602453,,24 hs,Comisaria Mujer,-34.8585938,-57.9103761
102,"Hospital Zonal General De Agudos ""Dr. Horacio Cestino""",BUENOS AIRES,Ensenada,San Martín y EU.UU S/N,,(0221) 4691255/1041,,24 hs,Salud,-34.8648233,-57.9085188
103,Hospital Zonal General De Agudos “Dr. Enrique Erill”,BUENOS AIRES,Escobar,Eugenia Tapia De Cruz S/N,,(0348) 433143/130,,24 hs,Salud,-34.3579102,-58.8069458
104,Municipalidad,BUENOS AIRES,Esteban Echeverria,Enrique Santa Marina 464,,4296-1017,,Lunes a Viernes de 7 a 15 hs,Mujer,-34.872986,-58.474916
105,Comisaría De La Mujer,BUENOS AIRES,Monte Grande,Benavidez 223,,4296-5650,,Lunes a Viernes de 9 a 17 hs,Comisaria Mujer,-34.8119983,-58.46984299999997
106,Hospital Municipal,BUENOS AIRES,Capilla Del Señor,Migliaro 966,,(02323) 491344,,24 hs,Salud,-34.2877274,-59.10380950000001
107,Comisaría De La Mujer,BUENOS AIRES,Ezeiza,Fariña 105,,4234-3566,,24 hs,Comisaria Mujer,-34.8907876,-58.5641093
108,Hospital Zonal General De Agudos “Dr. Alberto Eurnekian”,BUENOS AIRES,Ezeiza,Alem 349,,(011) 43891215/1216/1217,,24 hs,Salud,-34.865851,-58.5348595
109,Comisaría De La Mujer,BUENOS AIRES,Florencio Varela,Sargento Cabral y Alfonsina Storni,,4275-7185,,24 hs,Comisaria Mujer,-34.796581,-58.276012
110,Hospital Zonal General De Agudos “Mi Pueblo”,BUENOS AIRES,Villa Vatteone,Progreso 240,,4287-6422/4355-3316,,24 hs,Salud,-34.8370285,-58.2584229
111,Hospital De Alta Complejidad “El Cruce”,BUENOS AIRES,Florencio Varela,Avenida Calchaquí 5401,,4210-9000,,24 hs,Salud,-34.7708913,-58.2696595
112,Hospital Local “Dr. Felipe Peláez”,BUENOS AIRES,Florentino Ameghino,Avenida San Martín 281,,(03388) 471949/471055,,24 hs,Salud,-34.816667,-62.45
113,Hospital Municipal,BUENOS AIRES,General Alvarado (Miramar),José María Dupuy S/N,,(02291) 431253/431232/431778,,24 hs,Salud,-38.2633476,-57.8671265
114,Hospital Municipal,MENDOZA,General Alvear,Althabe 1041,,(02344) 481112,,24 hs,Salud,-36.0148964,-60.0086441
115,Hospital Municipal,BUENOS AIRES,General Arenales,Sarmiento 276,,(02353) 460442/460515,,24 hs,Salud,-34.645713,-58.5542621
116,Hospital “Juan E. De La Fuente”,BUENOS AIRES,General Belgrano,Avenida España 325,,(02243) 452148,,24 hs,Salud,-35.7626951,-58.4980627
117,Comisaría De La Mujer,BUENOS AIRES,General Lamadrid,San Martín 519,,(02286) 420215,,24 hs,Comisaria Mujer,-34.5032532,-58.55217
118,Hospital Municipal,BUENOS AIRES,General Lamadrid,Doctor Etchegaray S/N,,(02286) 420657/0036,,24 hs,Salud,-34.50160503830362,-58.55820178985596
119,Hospital Municipal,BUENOS AIRES,General Las Heras,Avenida Chiocconi 321,,(0220) 4761000,,24 hs,Salud,-34.9299312,-58.9414508
120,Hospital Municipal,BUENOS AIRES,General Lavalle,Arturo De La Serna 1064,,(02252) 491037,,24 hs,Salud,-36.4004517,-56.9668617
121,Comisaría De La Mujer,BUENOS AIRES,General Madariaga,Doctor Carlos Madariaga 122,,(02267) 550479,,Martes y Viernes de 8 a 13 hs,Comisaria Mujer,-37.1166262,-57.1915504
122,Hospital Municipal,BUENOS AIRES,General Madariaga,Buenos Aires y Echeverría,,(02267) 424366,,24 hs,Salud,-37.1166262,-57.1915504
123,Hospital Municipal,BUENOS AIRES,General Pinto,Videla y Purini,,(02356) 420039,,24 hs,Salud,-34.7757827,-61.8890123
124,Centro de Apoyo a la Mujer Maltratada,BUENOS AIRES,Mar Del Plata,Larrea 3291 (Esquina Salta),B7602EZM,(0223) 4720524,,"Lunes, Miércoles y Viernes de 14.30 a 17 hs",Mujer,-38.0175123,-57.57137130000001
125,Hospital Interzonal Especializado Materno Infantil “Don Victorio Tetamanti”,BUENOS AIRES,Mar Del Plata,Castelli 2450,B7602HLZ,(0223) 4936352,,24 hs,Salud,-38.0098552,-57.5530703
126,Hospital Interzonal General De Agudos “Dr. O. Allende”,BUENOS AIRES,Mar Del Plata,Avenida J. B. Justo y Calle 164,,(0223) 4770262/5,,24 hs,Salud,-38.008066185425314,-57.58580446243286
127,Hospital Local “Casa Del Niño”,BUENOS AIRES,Mar Del Plata,Avenida Martínez De Hoz 4070,B7603IBO,(0223) 4842891,,24 hs,Salud,-38.0797396,-57.54037349999999
128,Casa de la Justicia,BUENOS AIRES,General Rodriguez,Rivadavia 775,,(0237) 4844878,,Lunes a Viernes de 8 a 13:30 hs,Legal,-34.6115012  ,-58.95459189999997
129,Hospital Interzonal General De Agudos “López y Planes”,BUENOS AIRES,General Rodriguez,Alem y 25 De Mayo,,(0237) 4840323/0022,,24 hs,Salud,-34.621836973879866 ,-58.948516845703125
130,Comisaría De La Mujer,BUENOS AIRES,Los Toldos,España 479,,(02358) 444657/Emergencia: 101,,24 hs,Comisaria Mujer,-35.0667625  ,-61.04713549999997
131,Hospital Subzonal “General Viamonte”,BUENOS AIRES,Los Toldos,6 De Agosto y Passo,,(02358) 442458/3263/2290,,24 hs,Salud,-34.0667625  ,-61.04713549999997
132,Comisaría De La Mujer,BUENOS AIRES,General Villegas,San Martín 472,,(03388) 428004,,24 hs,Comisaria Mujer,-35.0334929    ,-63.01530360000004
133,Hospital Municipal,BUENOS AIRES,General Villegas,Isturiz S/N,,(03388) 423629/30/31,,24 hs,Salud,-35.03265,-63.01757810000004
134,Hospital Municipal,BUENOS AIRES,Guamini,Mariano Subillaga 39,,(02929) 432142/0094,,24 hs,Salud,-37.0125427,-62.416496300000006
135,Hospital Municipal,BUENOS AIRES,Laguna Alsina,Rómulo Cesar S/N (Entre España y San Martín),,(02929) 493058,,24 hs,Salud,-37.0125427  ,-62.416496300000006
136,Hospital Municipal,BUENOS AIRES,Henderson,General Urquiza 502,,(02314) 452062/645,,24 hs,Salud,-36.2988281,-61.7156982
137,Ong “Kichari Huasi”,BUENOS AIRES,Hurlingham,Villarroel 128,,4450-6543,,,Organización no gubernamental,-34.6107764,-58.6279326
138,Comisaría De La Mujer,BUENOS AIRES,Hurlingham,Handel 1625,,4662-4200,,24 hs,Comisaria Mujer,-34.5992386,-58.6284248
139,Hospital Municipal,BUENOS AIRES,Hurlingham,Díaz De Solís 16,,4452-1694/6918/6381,,24 hs,Salud,-34.6026551,-58.6216589
140,Consejo Mujeres Por La Igualdad De Género,BUENOS AIRES,Ituzaingo,Las Heras 30,,4624-0898,CONSEJODEMUJERES@MIITUZAINGO.GOV.AR,Lunes a Viernes de 8:30 a 16 hs,Mujer,-34.6589256,-58.6661053
141,Comisaría De La Mujer,BUENOS AIRES,Ituzaingo,Peredo 3111,,4481-5577/9204,,24 hs,Comisaria Mujer,-34.6529314,-58.7046615
142,Hospital De Atención Médica Primaria “Ramón Carrillo”,BUENOS AIRES,Ituzaingo,Brandsen 3859,,08009991999/4621-0648/5960/4481,,24 hs,Salud,-34.6300587,-58.7020793
143,Acción Social,BUENOS AIRES,Jose C Paz,Hipólito Yrigoyen 2945,,(02320) 4400511,,Lunes a Viernes de 8 a 13 hs,Mujer,-34.5243254,-58.76378669999997
144,"Dirección De Niñez, Adolescencia Y Familia",BUENOS AIRES,Jose C Paz,Zuviría 4784,,(02320) 423290/423303,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-34.5223836,-58.7487401
145,Secretaria De Acción Política,BUENOS AIRES,Jose C Paz,Gaspar Campos 6151,,(02320) 440611/116,,Lunes a Viernes de 8 a 13 hs,Mujer,-34.5265098,-58.75316499999997
146,Juzgado De Paz,BUENOS AIRES,Jose C Paz,San Nicolás y Lavalle,,(02320) 430376,,Lunes a Viernes de 8 a 13 hs,Legal,-34.525757184177856,-58.755269050598144
147,Hospital Zonal De Agudos “Gobernador Domingo Mercante”,BUENOS AIRES,Jose C Paz,René Favaloro 4750,,(02320) 413950/434100,,24 hs,Salud,-34.645706,-58.414179
148,Dirección De Políticas De Genero,BUENOS AIRES,Ramos Mejia,Rivadavia 13518 (1° P),,4654-7454/4656-1572/4469-1970,,Lunes a Viernes de 8:30 a 14 hs,Mujer,-34.6399459,-58.5575571
149,Políticas De Genero Descentralizada Sur,BUENOS AIRES,Gonzalez Catan,Avenida Juan Manuel de Rosas 17798,,(02202) 419036/439899,,Lunes a Viernes de 8 a 13 hs,Mujer,-34.7933303,-58.6320543
150,Prevención Y Asistencia A La Víctima De Violencia Familiar Y De Género,BUENOS AIRES,San Justo,Avenida Juan Manuel de Rosas 4358,,4484-1093/7898/7899 (internos: 201 y 103),,Lunes a Viernes de 8 a 16,Mujer,-34.6864162,-58.5622511
151,Servicio Local De Protección De Derechos De Niños Y Adolescentes,BUENOS AIRES,San Justo,Paraguay 2305,,4482-2206,,Lunes a Viernes de 8:30 a 14:30 hs,Niñez / Familia,-34.681297,-58.55379519999997
152,Servicios De Protección De Derechos – Sede Ii,BUENOS AIRES,Laferrere,Chasaing 3158,,4467-7116,,Lunes a Viernes de 8:30 a 14:30 hs,Niñez / Familia,-34.7534788,-58.5819219
153,Servicios De Protección De Derechos – Sede Iii,BUENOS AIRES,Gonzalez Catan,Senguel 5680 (Km 29),,(02202) 424829/438304,,Lunes a Viernes de 8:30 a 14:30 hs,Niñez / Familia,-34.7606973,-58.62074110000003
154,Juzgados De Familia En San Justo,BUENOS AIRES,San Justo,"Jujuy (Esquina Colombia, PB)",,4441-1024/26/4482-5814/5789,,Lunes a Viernes de 8 a 13 hs,Legal,-34.67574681244903,-58.569467067718506
155,Defensoría General,BUENOS AIRES,San Justo,Almafuerte 3133,,4482-1680/4441-5722,,Lunes a Viernes de 8 a 14 hs,Legal,-34.6779984,-58.55975050000001
156,Defensoría Del Pueblo,BUENOS AIRES,San Justo,Hipólito Yrigoyen 2661,,4482-6229/4651-1406,,Lunes a Viernes 9 a 15 hs,Legal,-34.6794951,-58.56211250000001
157,Colegio Publico De Abogados,BUENOS AIRES,San Justo,Entre Rios 2942,,4441-0196/0128,,Lunes a Viernes de 14 a 17:30 hs,Legal,-34.6757679 ,-58.56106650000004
