codigo,titulo,organismo,en_que_consiste,requisitos,como_se_hace_el_tramite,quien_puede_o_debe_efectuarlo,que_vigencia_tiene_el_documento,cuantas_veces_deberia_asistir_al_organismo,tiempo_desde_la_solicitud_hasta_la_entrega,donde_se_puede_realizar,cuando_es_necesario_realizar_el_tramite,observaciones
495,Reclamo por inconvenientes en la instalación del medidor del servicio de electricidad,Ente Nacional Regulador de la Electricidad,"Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando la distribuidora no coloca el medidor en tiempo, y el usuario considera que no se le ha brindado un trato adecuado.","1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente. - En EDENOR: número de cuenta. 3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Número de reclamo iniciado en la Distribuidora.  5.- Motivo del reclamo.  6.- Fecha y Número de solicitud.  7.- Copia de solicitud.  8.- Convenio de suministro (de existir).  ","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs. - Personalmente: Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.  - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
508,Reclamo por problemas en la facturación por mal funcionamiento del medidor del servicio de electricidad,Ente Nacional Regulador de la Electricidad,Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando la empresa factura un recupero de consumos porque detecta problemas en el medidor.,"1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente - En EDENOR: número de cuenta  3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Número de reclamo iniciado en la Distribuidora.  5.- Motivo del reclamo.  6.- Factura anterior.  ","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs. - Personalmente: Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.  - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
510,Reclamo por problemas relacionados con el Programa de Uso Racional de la Energía Eléctrica (PUREE),Ente Nacional Regulador de la Electricidad,Reclamar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando existen problemas con el Programa de Uso Racional de la Energía Eléctrica (PUREE).,"1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente - En EDENOR: número de cuenta 3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Número de reclamo iniciado en la Distribuidora.  5.- Motivo del reclamo.  6.- Factura objetada.  8.- Contrato de locación y/o titulo de propiedad de corresponder.  Recomendación General: es conveniente adjuntar una nota confeccionada por el usuario donde se explique cuál fue el problema sufrido, con la mayor cantidad de datos personales posibles.","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs. - Personalmente: Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs. - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","Titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
517,Reclamo por intimación de la distribuidora por regularización del factor de potencia del servicio de electricidad,Ente Nacional Regulador de la Electricidad,Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando la distribuidora intima al usuario a regularizar el factor de potencia e incluye una multa en la factura por dicho concepto.,"1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente - En EDENOR: número de cuenta  3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Número de reclamo iniciado en la Distribuidora.  5.- Fecha y N° Solicitud.  6.- Copia de la Solicitud  7.- Motivo del reclamo.  ","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs. - Personalmente: Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs. - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
518,Reclamo por cambio de tarifa del servicio de electricidad,Ente Nacional Regulador de la Electricidad,Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando la distribuidora cambia la tarifa del usuario y emite un recupero por la diferencia de los importes no facturados.,"1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente. - En EDENOR: número de cuenta.  3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Número de reclamo iniciado en la Distribuidora.  5.- Motivo del reclamo.  6.- Factura objetada y facturas del período que abarque la recuperación de consumos.","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs. - Personalmente: Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.  - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguirntes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
519,Reclamo por problemas con las facturas no recibidas o recibidas fuera de término del servicio de electricidad,Ente Nacional Regulador de la Electricidad,Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando al usuario no le llegan las facturas o le llegan fuera de término.,"1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente - En EDENOR: número de cuenta  3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Constancia o nota de respuesta del reclamo realizado en la Distribuidora.  5.- Motivo del reclamo.  ","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs. - Personalmente: Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs. - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","Titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
520,Reclamo por errores en la facturación del servicio de electricidad,Ente Nacional Regulador de la Electricidad,Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando la distribuidora factura montos que no corresponden al usuario o incluye en la factura acciones no realizadas.,"1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente. - En EDENOR: número de cuenta.  3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Constancia o nota de respuesta del reclamo realizado en la Distribuidora y número de reclamo.  5.- Motivo del reclamo.  6.- Factura objetada y anteriores.","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs. - Personalmente: Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.  - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","Titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
521,Reclamo sobre facturación del servicio de electricidad por excesivo consumo,Ente Nacional Regulador de la Electricidad,"Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando la distribuidora factura consumos elevados o el usuario informa que el incremento no responde al mayor uso de sus artefactos, y éste considera que no se le ha brindado un tratamiento adecuado.","1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente - En EDENOR: número de cuenta  3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Número de reclamo iniciado en la Distribuidora.  5.- Motivo del reclamo.  6.- Factura objetada y anteriores.  7.- Si es locatario contrato de locación / copia título de propiedad.  Recomendación General: es conveniente adjuntar una nota confeccionada por el usuario donde se explique cuál fue el problema sufrido, con la mayor cantidad de datos personales posibles.","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs. - Personalmente: Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.  - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
522,Reclamo por problemas con el nivel de tensión en el suministro del servicio de electricidad,Ente Nacional Regulador de la Electricidad,Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando el usuario tiene problemas con el nivel de tensión en el suministro de electricidad.,"1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente - En EDENOR: número de cuenta  3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Número de reclamo iniciado en la Distribuidora.  5.- Motivo del reclamo.  6.- Tiempo desde que se inició el problema.  ","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs. - Personalmente: Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs. - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
525,Reclamo por problemas ocasionados por la distribuidora al efectuar el cambio o retiro del medidor del servicio de electricidad,Ente Nacional Regulador de la Electricidad,"Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando la distribuidora para efectuar el cambio/retiro del medidor, no respeta lo establecido por la reglamentación o genera algún perjuicio al usuario al efectuar dicho trabajo.","1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente - En EDENOR: número de cuenta  3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Número de reclamo iniciado en la Distribuidora.  5.- Motivo del reclamo.  6.- Copia de la factura donde se detalla cambio de medidor.  ","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs. - Personalmente: Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs. - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
526,Reclamo sobre el servicio de electricidad - Problemas no tipificados,Ente Nacional Regulador de la Electricidad,Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando el usuario quiere reclamar un problema no tipificado en las categorías de reclamos del ente regulador.,"1.- Nombre, Domicilio (entre calles, localidad, Barrio, Partido, Código Postal), y Teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En Edesur: número de cliente. - En Edenor: número cuenta.  3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Número de reclamo iniciado en la distribuidora.  5.- Motivo del reclamo.  Recomendación General: es conveniente adjuntar una nota confeccionada por el usuario donde se explique cuál fue el problema sufrido, con la mayor cantidad de datos personales posibles.","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs. - Personalmente: Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs. - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
527,Reclamo por el mal estado de postes o instalaciones del servicio de electricidad,Ente Nacional Regulador de la Electricidad,Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando un usuario informa a la prestadora acerca del mal estado de postes o instalaciones y no recibe respuesta alguna.,"1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente. - En EDENOR: número de cuenta.  3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Número de reclamo iniciado en la Distribuidora.  5.- Motivo del reclamo.  ","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000- Fax: 0800-333-5962- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000- Fax: 0800-333-5962- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
